dataset,repeat,fold,sample,seed,problem_type,sampler,sampler_method,requested_fraction,retained_fraction,n_train_full,n_train_sampled,accuracy,baseline_accuracy,accuracy_delta,rmse,baseline_rmse,rmse_delta,quality_delta,sampling_seconds,fit_seconds,predict_seconds,measured_total_seconds,predict_speedup,total_speedup
diabetes,0,0,0,0,classification,knn-50,knn,0.5,0.5,512,256,0.76171875,0.765625,-0.00390625,,,,-0.00390625,0.34018991608172655,0.03347041690722108,82.08119116583839,82.45485149882734,1.6650015853210447,1.657713551400109
diabetes,0,0,0,0,classification,knn-75,knn,0.75,0.75,512,384,0.77734375,0.765625,0.01171875,,,,0.01171875,0.007351374719291925,0.020909042097628117,105.4069547909312,105.43521520774812,1.2965492996854777,1.2964029564407336
diabetes,0,0,0,0,classification,random-75,random,0.75,0.75,512,384,0.7890625,0.765625,0.0234375,,,,0.0234375,0.0011906661093235016,0.031005041673779488,103.18478079186752,103.21697649965063,1.3244716165247876,1.324263985864305
diabetes,0,0,0,0,classification,stratified-50,stratified,0.5,0.5,512,256,0.7421875,0.765625,-0.0234375,,,,-0.0234375,0.0004877923056483269,0.018999083898961544,81.81896058283746,81.83844745904207,1.6703379319735319,1.670199386134464
diabetes,0,0,0,0,classification,stratified-75,stratified,0.75,0.75,512,384,0.7890625,0.765625,0.0234375,,,,0.0234375,0.0004865420050919056,0.02024875022470951,110.61267520766705,110.63341049989685,1.2355303147634908,1.2354904733630814
diabetes,0,0,0,0,classification,random-25,random,0.25,0.25,512,128,0.75,0.765625,-0.015625,,,,-0.015625,0.0009242920204997063,0.0211887089535594,59.56924929097295,59.59136229194701,2.294225880682212,2.2937304913192267
diabetes,0,0,0,0,classification,stratified-25,stratified,0.25,0.25,512,128,0.78125,0.765625,0.015625,,,,0.015625,0.0006489166989922523,0.01904366724193096,55.94400412496179,55.96369670890272,2.442894740084963,2.442414149645435
diabetes,0,0,0,0,classification,full,full,1.0,1.0,512,512,0.765625,0.765625,0.0,,,,0.0,0.00014566723257303238,0.02106562489643693,136.66531341616064,136.68652470828965,1.0,1.0
diabetes,0,0,0,0,classification,random-50,random,0.5,0.5,512,256,0.75390625,0.765625,-0.01171875,,,,-0.01171875,0.0008313339203596115,0.02059487486258149,87.41251099994406,87.433937208727,1.5634525521895613,1.5633120167285184
diabetes,0,0,0,1,classification,random-75,random,0.75,0.75,512,384,0.74609375,0.7578125,-0.01171875,,,,-0.01171875,0.00024574995040893555,0.019652458373457193,105.00536824995652,105.02526645828038,1.2912961194452617,1.291274688687958
